apetyczny	nieapetyczny
niesymetryczny	symetryczny
niesłuszny	słuszny
nietypowy	typowy
nieubrany	ubrany
nieucywilizowany	ucywilizowany
nieumocowany	umocowany
nieumysłowy	umysłowy
niewyczerpujący	wyczerpujący
niewymuszony	wymuszony
niezgrabny	zgrabny
normalny	anormalny
normalny	nienormalny
normalny	anormalny
normalny	nienormalny
obcisły	nieobcisły
obrotność	nieobrotność
odmienny	nieodmienny
ojciec	matka
określony	nieokreślony
optymalny	nieoptymalny
ordynariusz	biskup pomocniczy
oryginalny	nieoryginalny
otwarty	zamknięty
panna	kawaler
parlamentarny	pozaparlamentarny
pauza	lekcja
pisemny	ustny
podziemny	nadziemny
poprawny	niepoprawny
poprawny	błędny
powszechny	niepowszechny
prawdopodobny	nieprawdopodobny
produkcyjny	pozaprodukcyjny
przedni	tylny
przemijający	nieprzemijający
przerwa	lekcja
przystawać	odstawać
pustynia	sapisko
płatny	darmowy
płatny	bezpłatny
realny	wirtualny
równorzędny	nierównorzędny
rychły	nierychły
sakralny	świecki
solidarność	niesolidarność
środkowy	mimośrodkowy
stacjonarny	niestacjonarny
stanowczość	niestanowczość
strona	osoba trzecia
symetryczny	asymetryczny
symetryczny	niesymetryczny
syn	córka
szczelny	nieszczelny
tata	mama
toksyczny	nietoksyczny
tylny	przedni
uczuciowy	bezuczuciowy
ujemny	nieujemny
umyślny	nieumyślny
ustny	pisemny
uzasadniony	nieuzasadniony
widoczny	niewidzialny
widoczny	niewidoczny
wirtualny	realny
wokalny	instrumentalny
wrócić na tarczy	wrócić z tarczą
wyczerpujący	niewyczerpujący
wypłacalny	niewypłacalny
wystarczać	brakować
zagraniczny	krajowy
zamknięty	otwarty
zapamiętać	zapomnieć
zapomnieć	zapamiętać
zdrowy	chory
zewnętrzny	wewnętrzny
zgrabny	niezgrabny
żyd	goj
łaskawość	niełaskawość
łaskawy	niełaskawy
łysy	uwłosiony
łysy	owłosiony
aut	pole
obojętność	nieobojętność
tryk	maciorka
kocica	kocur
knur	maciora
wuj	ciotka
dorosły	nieletni
dorosły	niepełnoletni
kawaler	panna
obuty	nieobuty
niejednostajny	jednostajny
niejednostajny	jednostajny
nieciekawy	ciekawy
niewidoczny	widoczny
nieinteligentny	inteligentny
niejednolity	jednolity
niełaskawy	łaskawy
świecki	duchowny
nieobojętny	obojętny
oficjalność	nieoficjalność
nieoptymalny	optymalny
niepoprawny	poprawny
przewidywalny	nieprzewidywalny
racjonalizm	irracjonalizm
nierównorzędny	równorzędny
niestabilny	stabilny
nieszczelny	szczelny
nietoksyczny	toksyczny
toksyczność	nietoksyczność
nieżonaty	żonaty
zajęty	wolny
niewyłączny	wyłączny
pełnoletni	niepełnoletni
szerokość	długość
chrześcijanin	niechrześcijanin
muzułmanin	kafir
muzułmanin	niewierny
muzułmanin	giaur
katolik	niekatolik
niejednomyślność	jednomyślność
ubrany	nieubrany
pełnosprawny	niepełnosprawny
racjonalista	empirysta
dosłowność	niedosłowność
nadrzędnik	podrzędnik
pojazd mechaniczny	pojazd niemechaniczny
umysłowy	nieumysłowy
tragiczny	komiczny
komiczny	tragiczny
dobrze wychodzić	źle wychodzić
źle wychodzić	dobrze wychodzić
deklinacyjny	koniugacyjny
zawisły	niezawisły
nieapetyczny	apetyczny
achromatyczny	chromatyczny
chybotliwy	stabilny
niesłyszalny	słyszalny
czynny	nieczynny
czysty	nieczysty
niedemokratyczny	demokratyczny
niedopuszczalny	dopuszczalny
doskonały	niedoskonały
niematerialny	materialny
dyskretny	niedyskretny
fizyczny	niefizyczny
niepochlebny	pochlebny
nieharmonijny	harmonijny
instrumentalny	wokalny
wieloznaczny	jednoznaczny
niekłopotliwy	kłopotliwy
czarno-biały	kolorowy
biały	kolorowy
niekonstytucyjny	konstytucyjny
krytyczny	pochlebny
pochlebny	niepochlebny
pochlebny	krytyczny
kulturalny	niekulturalny
niekulturalny	kulturalny
brat	siostra
chłop	baba
chłop	baba
chłop	kobita
dziewczyna	chłopak
dźwięczny	bezdźwięczny
harmonijny	nieharmonijny
jednostajny	niejednostajny
klarowny	nieklarowny
konieczność	niekonieczność
kozioł	koza
możliwy	niemożliwy
nielegalny	legalny
nienormalny	normalny
nieoryginalny	oryginalny
niepełny	pełny
nieprawidłowy	prawidłowy
niezawisły	zawisły
obcy	rodzimy
obrazowy	bezobrazowy
obrazowy	nieobrazowy
odezwać się	zamilknąć
ojciec	matka
osobowy	bezosobowy
pewny	niepewny
pole	aut
powszechny	niepowszechny
powszechny	niepowszechny
realny	nierealny
rodzimy	obcy
równy	nierówny
rozumny	nierozumny
siostra	brat
siostra	brat
sprawny	niepełnosprawny
stacjonarny	niestacjonarny
staranny	niestaranny
świecki	sakralny
słuszny	niesłuszny
słuszny	niesłuszny
tajny	jawny
trafny	nietrafny
typowy	nietypowy
wewnętrzny	zewnętrzny
wolny	zajęty
wytrawny	niewytrawny
zamierzony	niezamierzony
żywy	nieżywy
niejednomyślność	jednomyślność
nienormalny	normalny
niestaranny	staranny
anormalny	normalny
oryginalny	nieoryginalny
pełny	niepełny
niepewny	pewny
bezpłodny	płodny
płodny	bezpłodny
płodny	niepłodny
prawy	lewy
prawy	lewy
lewy	prawy
nierealistyczny	realistyczny
nierówny	równy
niespokojny	spokojny
nieuleczalny	uleczalny
uleczalny	nieuleczalny
umocowany	nieumocowany
niewierny	wierny
wierny	niewierny
nieżywy	żywy
nowy	nienowy
otwarty	zamknięty
zamknięty	otwarty
spokojny	niespokojny
pojazd niemechaniczny	pojazd mechaniczny
język naturalny	język sztuczny
babka	dziadek
brat cioteczny	siostra cioteczna
lesbijka	gej
macocha	ojczym
ojczym	macocha
ojciec chrzestny	matka chrzestna
suka	pies
tatuś	mamusia
właz	wyłaz
kaczor	kaczka
respondent	ankieter
negatyw	pozytyw
maciora	knur
kur	kura
bezsilność	silność
niezdecydowanie	zdecydowanie
przypływ	odpływ
odpływ	przypływ
banalność	niebanalność
pobłażliwość	niepobłażliwość
trafienie	pudło
wolej	półwolej
pan młody	panna młoda
panna młoda	pan młody
wdech	wydech
wydech	wdech
plankton	nekton
złożoność	niezłożoność
brat stryjeczny	siostra stryjeczna
forhend	bekhend
bezdźwięczny	dźwięczny
odporność	nieodporność
babunia	dziadunio
racjonalizm	empiryzm
pradziadek	prababcia
kosztowność	niekosztowność
równoważność	nierównoważność
proporcjonalność	dysproporcjonalność
proporcjonalność	nieproporcjonalność
reprezentatywność	niereprezentatywność
zupełność	niezupełność
pełnoletność	niepełnoletność
irracjonalizm	racjonalizm
język sztuczny	język naturalny
koloid	krystaloid
dziewczyna na posyłki	chłopiec na posyłki
kmieć	chłop pańszczyźniany
wolny chłop	chłop pańszczyźniany
słupek	pręcik
pręcik	słupek
empiryzm	racjonalizm
motyl nocny	motyl dzienny
gej	lesbijka
nieuchronność	uchronność
endopasożyt	ektopasożyt
samotny ojciec	samotna matka
ektopasożyt	endopasożyt
naturalizacja	denaturalizacja
urbanizacja	rustyfikacja
urbanizacja	ruralizacja
giaur	muzułmanin
goj	żyd
indyczka	indor
indor	indyczka
kolorowy	biały
odyniec	locha
nieślubna	ślubna
nieślubny	ślubny
motyl dzienny	motyl nocny
autonomiczność	nieautonomiczność
wyłączny	niewyłączny
niepodzielność	podzielność
prawomocność	nieprawomocność
cielesność	sensualność
cosinus	secans
kosinus	sekans
baba	chłop
chłopina	kobiecina
kobita	chłop
coś	nic
niewidzialność	widzialność
empirysta	racjonalista
podzielność	niepodzielność
żyrondysta	sankiulota
ankieter	respondent
ankieter	ankietowany
bekhend	forhend
chłopię	dziewczę
kobiecina	chłopina
prababka	pradziad
prababcia	pradziadek
pradziad	prababka
heterotrofia	autotrofia
heterotrofizm	autotrofizm
autotrofia	heterotrofia
autotrofizm	heterotrofizm
egzoteryczny	ezoteryczny
kłótliwość	niekłótliwość
androgen	estrogen
estrogen	androgen
zdecydowanie	niezdecydowanie
przemijalność	nieprzemijalność
laik	duchowny
dur	moll
moll	dur
wymienialność	niewymienialność
pramatka	praojciec
praojciec	pramatka
wykładnik tematu czasu teraźniejszego	wykładnik tematu czasu przeszłego
poliandria	poliginia
poliandria	poligynia
poliginia	poliandria
spermatogeneza	owogeneza
spermatogeneza	oogeneza
volley	półwolej
poligynia	poliandria
materialność	niematerialność
dziewczynka	chłopiec
wadera	basior
basior	wadera
bliźnięta jednojajowe	bliźnięta dwujajowe
bliźnięta dwujajowe	bliźnięta jednojajowe
obupłciowość	rozdzielnopłciowość
rozdzielnopłciowość	obupłciowość
anizotropia	izotropia
widzialność	niewidzialność
przyswajalność	nieprzyswajalność
przyswajalność	nieprzyswajalność
rozpuszczalność	nierozpuszczalność
wykrywalny	niewykrywalny
wykrywalność	niewykrywalność
niepełnoletność	pełnoletność
nieostrość	ostrość
całkowitość	niecałkowitość
mały jus	wielki jus
wielki jus	mały jus
apetyczność	nieapetyczność
małpy szerokonose	małpy wąskonose
małpy wąskonose	małpy szerokonose
małpy zwierzokształtne	małpy człekokształtne
małpy człekokształtne	małpy zwierzokształtne
wielowątkowy	jednowątkowy
wokalizacja	konsonantyzacja
konsonantyzacja	wokalizacja
zębowce	fiszbinowce
fiszbinowce	zębowce
mikrospora	makrospora
napój gazowany	napój niegazowany
napój niegazowany	napój gazowany
praprababka	prapradziad
praprababcia	prapradziadek
prapradziad	praprababka
prapradziadek	praprababcia
narządy płciowe żeńskie wewnętrzne	narządy płciowe męskie wewnętrzne
narządy płciowe męskie wewnętrzne	narządy płciowe żeńskie wewnętrzne
niechrześcijanin	chrześcijanin
cenobityzm	eremityzm
eremityzm	cenobityzm
anachoreta	cenobita
cenobita	anachoreta
efektowność	nieefektowność
kłopotliwość	niekłopotliwość
walidacja	inwalidacja
ezoteryczny	egzoteryczny
verso	recto
recto	verso
imponderabilia	ponderabilia
estetyczność	nieestetyczność
gen hipostatyczny	gen epistatyczny
gen epistatyczny	gen hipostatyczny
nierozumny	rozumny
ostrość	nieostrość
odporność	nieodporność
półwolej	volley
półwolej	wolej
rzeczywistość wirtualna	real
real	rzeczywistość wirtualna
chromatyczny	achromatyczny
miejsce wolne	miejsce zajęte
miejsce zajęte	miejsce wolne
standardowość	niestandardowość
epigoństwo	prekursorstwo
sankiulota	żyrondysta
dźwięczność	bezdźwięczność
bezdźwięczność	dźwięczność
problemowość	bezproblemowość
makrospora	mikrospora
sorbent	sorbat
pole stacjonarne	pole niestacjonarne
pole niestacjonarne	pole stacjonarne
pole źródłowe	pole bezźródłowe
pole bezźródłowe	pole źródłowe
pole wirowe	pole bezwirowe
pole bezwirowe	pole wirowe
gniazdownik	zagniazdownik
nieproporcjonalność	proporcjonalność
autotrof	heterotrof
heterotrof	autotrof
prokarioty	karioty
prokarioty	eukarioty
prokarionty	eukarionty
organizmy prokariotyczne	organizmy eukariotyczne
organizmy prokariotyczne	organizmy jądrowe
akariobionty	eukarionty
anukleobionty	eukarionty
bezjądrowce	jądrowce
bezjądrowce	jądrowe
prokariota	kariota
prokariota	eukariota
hemikryptofit	roślina skrytopączkowa
hemikryptofit	kryptofit
roślina naziemnopączkowa	kryptofit
na wynos	na miejscu
na miejscu	na wynos
kierunkowskaz prawy	kierunkowskaz lewy
migacz prawy	migacz lewy
kierunkowskaz lewy	kierunkowskaz prawy
migacz lewy	migacz prawy
matka chrzestna	ojciec chrzestny
bilans bierny	bilans czynny
bilans ujemny	bilans dodatni
bilans czynny	bilans bierny
bilans dodatni	bilans ujemny
samotna matka	samotny ojciec
zapłodnienie homologiczne	zapłodnienie heterologiczne
zapłodnienie heterologiczne	zapłodnienie homologiczne
lewobrzeże	prawobrzeże
prawobrzeże	lewobrzeże
tropizm dodatni	tropizm ujemny
tropizm ujemny	tropizm dodatni
pamięć długotrwała	pamięć krótkotrwała
pamięć krótkotrwała	pamięć długotrwała
zamilknąć	odezwać się
chłopiec	dziewczynka
niejadalny	jadalny
wracać na tarczy	wracać z tarczą
wrócić na tarczy	wrócić z tarczą
wracać z tarczą	wracać na tarczy
wrócić z tarczą	wrócić na tarczy
widzialny	niewidzialny
syty	niesyty
zdać	oblać
zdawać	oblewać
świadomy	nieświadomy
fellatio	cunnilingus
cunnilingus	fellatio
odstawać	przystawać
oblać	zdać
oblewać	zdawać
trafiać	chybiać
niewidzialny	widoczny
niewidzialny	widzialny
wierzący	niewierzący
sprawny	niesprawny
maciorka	tryk
wykładnik tematu czasu przeszłego	wykładnik tematu czasu teraźniejszego
przyrostek tematu czasu przeszłego	przyrostek tematu czasu teraźniejszego
przyrostek tematu czasu teraźniejszego	przyrostek tematu czasu przeszłego
sarniak	siuta
słyszalny	niesłyszalny
chybiać	trafiać
donosić	poronić
poronić	donosić
zaskarżalność	niezaskarżalność
niekatolik	katolik
chemotropizm dodatni	chemotropizm ujemny
menopauza	andropauza
andropauza	menopauza
oogeneza	spermatogeneza
siostra cioteczna	brat cioteczny
siostra stryjeczna	brat stryjeczny
żonaty	nieżonaty
boysband	girlsband
girlsband	boysband
chłopak	dziewczyna
chłopiec na posyłki	dziewczyna na posyłki
Rom	gadzio
nieobyczajny	obyczajny
obyczajny	nieobyczajny
zajęczyca	gach
gruby zwierz	zwierzyna drobna
gruba zwierzyna	zwierzyna drobna
zwierzyna drobna	gruby zwierz
zwierzyna drobna	gruba zwierzyna
wyłaz	właz
makrogameta	mikrogameta
graf skierowany	graf nieskierowany
graf nieskierowany	graf skierowany
biedniak	kułak
kafir	muzułmanin
poligamista	monogamista
monogamista	poligamista
jądrowce	przedjądrowce
jądrowce	bezjądrowe
jądrowce	bezjądrowce
organizmy jądrowe	organizmy akariotyczne
organizmy jądrowe	organizmy prokariotyczne
jądrowe	przedjądrowce
jądrowe	bezjądrowe
jądrowe	bezjądrowce
eukariota	akariota
eukariota	prokariota
eukarionty	anukleobionty
eukarionty	akariobionty
eukarionty	prokarionty
eukarioty	prokarioty
organizmy eukariotyczne	organizmy akariotyczne
organizmy eukariotyczne	organizmy prokariotyczne
karioty	prokarioty
kariota	akariota
kariota	prokariota
kryptofit	roślina naziemnopączkowa
kryptofit	hemikryptofit
roślina skrytopączkowa	hemikryptofit
nekton	plankton
niezupełność	zupełność
gach	zajęczyca
bezosobowy	osobowy
kopolimer	homopolimer
homopolimer	kopolimer
niekompatybilność	kompatybilność
akceptowalność	nieakceptowalność
niewymierność	wymierność
wymierność	niewymierność
intron	ekson
sekwencja niekodująca	sekwencja kodująca
niereprezentatywność	reprezentatywność
kompatybilność	niekompatybilność
słowny	niesłowny
ikrzak	mleczak
mleczak	ikrzak
poręczność	nieporęczność
poręczność	nieporęczność
chłop pańszczyźniany	kmieć
chłop pańszczyźniany	wolny chłop
izotropia	anizotropia
ekson	intron
sekwencja kodująca	sekwencja niekodująca
zagniazdownik	gniazdownik
osoba trzecia	strona
piśmienność	oralność
serwer	klient
niematerialność	materialność
geocentryzm	heliocentryzm
teoria geocentryczna	teoria heliocentryczna
heliocentryzm	geocentryzm
teoria heliocentryczna	teoria geocentryczna
prekursorstwo	epigoństwo
secans	cosinus
sekans	kosinus
audiometr	sonograf
backhand	forehand
forehand	backhand
mikrogameta	makrogameta
przemienność	nieprzemienność
niepołączalność	połączalność
połączalność	niepołączalność
przeciwdziedzina	dziedzina
dziedzina	przeciwdziedzina
animus	anima
anima	animus
wystarczanie	brakowanie
brakowanie	wystarczanie
zdawanie	oblewanie
odstawanie	przystawanie
dyskwalifikowanie	kwalifikowanie
przystawanie	odstawanie
kwalifikowanie	dyskwalifikowanie
trafianie	chybianie
oblanie	zdanie
wracanie na tarczy	wracanie z tarczą
oblewanie	zdawanie
wracanie z tarczą	wracanie na tarczy
kwalifikowanie	dyskwalifikowanie
dyskwalifikowanie	kwalifikowanie
zdanie	oblanie
chybianie	trafianie
zapamiętanie	zapomnienie
zamilknięcie	odezwanie się
zapomnienie	zapamiętanie
donoszenie	poronienie
poronienie	donoszenie
odezwanie się	zamilknięcie
pojedynek	samura
złamanie otwarte	złamanie zamknięte
złamanie zamknięte	złamanie otwarte
chemotropizm ujemny	chemotropizm dodatni
anormalny	normalny
niesłuszny	słuszny
chromatyczny	diatoniczny
diatoniczny	chromatyczny
stabilny	chybotliwy
stabilny	chwiejny
stabilny	niestabilny
dodatni	ujemny
cykliczny	acykliczny
kropkowany	ciągły
nieautentyczny	autentyczny
wymuszony	niewymuszony
atrakcyjny	nieatrakcyjny
nieatrakcyjny	atrakcyjny
asymetryczny	symetryczny
nieautomatyczny	automatyczny
odprzodowy	odtylcowy
odtylcowy	odprzodowy
automatyczny	nieautomatyczny
nieświadomy	świadomy
nadziemny	podziemny
napowietrzny	naziemny
naziemny	napowietrzny
ucywilizowany	nieucywilizowany
dysponowany	niedysponowany
nieprawdziwy	prawdziwy
fałszywy	prawdziwy
prawdziwy	nieprawdziwy
prawdziwy	fałszywy
płciowy	bezpłciowy
inwestycja długoterminowa	inwestycja krótkoterminowa
inwestycja krótkoterminowa	inwestycja długoterminowa
dobro materialne	dobro niematerialne
zobowiązanie krótkoterminowe	zobowiązanie długoterminowe
zobowiązanie długoterminowe	zobowiązanie krótkoterminowe
górski	nizinny
nizinny	wyżynny
nizinny	wyżynny
nizinny	górski
nizinny	wyżynny
wyżynny	nizinny
wyżynny	nizinny
wyżynny	nizinny
kulturalny	niekulturalny
ujemny	dodatni
zerowy	niezerowy
koszt pośredni	koszt bezpośredni
koszt bezpośredni	koszt pośredni
bezdzietny	dzietny
koszt stały	koszt zmienny
koszt zmienny	koszt stały
dzietny	bezdzietny
załogowy lot kosmiczny	bezzałogowy lot kosmiczny
bezzałogowy lot kosmiczny	załogowy lot kosmiczny
nieklarowny	klarowny
niesforny	sforny
system kapitałowy	system repartycyjny
system repartycyjny	system kapitałowy
koszt prosty	koszt złożony
koszt złożony	koszt prosty
akcja na okaziciela	akcja imienna
akcja imienna	akcja na okaziciela
instrument pochodny o symetrycznym podziale ryzyka	instrument pochodny o niesymetrycznym podziale ryzyka
instrument pochodny o niesymetrycznym podziale ryzyka	instrument pochodny o symetrycznym podziale ryzyka
instrument obrotu giełdowego	instrument obrotu pozagiełdowego
instrument obrotu pozagiełdowego	instrument obrotu giełdowego
niekulturalny	kulturalny
opcja kupna	opcja sprzedaży
opcja sprzedaży	opcja kupna
partnerski	niepartnerski
prawidłowy	nieprawidłowy
dostrzegalny	niedostrzegalny
niedyskretny	dyskretny
niedostrzegalny	dostrzegalny
bezkofeinowy	kofeinowy
dobro niematerialne	dobro materialne
postrzegalny	niepostrzegalny
pochwytny	niepochwytny
niepostrzegalny	postrzegalny
niepochwytny	pochwytny
poznawalny	niepoznawalny
niepoznawalny	poznawalny
policzalny	niepoliczalny
niepoliczalny	policzalny
przekładalny	nieprzekładalny
przekładalny	nieprzekładalny
nieprzekładalny	przekładalny
nieprzekładalny	przekładalny
przyswajalny	nieprzyswajalny
przyswajalny	nieprzyswajalny
nieprzyswajalny	przyswajalny
nieprzyswajalny	przyswajalny
dostrzegalny	niedostrzegalny
niedostrzegalny	dostrzegalny
rozróżnialny	nierozróżnialny
rozróżnialny	nierozróżnialny
nierozróżnialny	rozróżnialny
nierozróżnialny	rozróżnialny
bezpłciowy	płciowy
wyjściowy	wejściowy
niewykrywalny	wykrywalny
woda słodka	woda słona
woda słona	woda słodka
monogamia	poligamia
monogamiczny	poligamiczny
monogamiczny	poligamiczny
poligamia	monogamia
poligamiczny	monogamiczny
poligamiczny	monogamiczny
wujek	ciocia
bezszypułkowy	szypułkowy
szypułkowy	bezszypułkowy
geocentryczny	heliocentryczny
heliocentryczny	geocentryczny
nietwórczy	twórczy
policentryczny	monocentryczny
wielostopniowy	jednostopniowy
inercyjny	bezinercyjny
małżeński	niemałżeński
niezmywalny	zmywalny
lewobrzeżny	prawobrzeżny
prawobrzeżny	lewobrzeżny
bolszewicki	niebolszewicki
bolszewicki	niebolszewicki
klient	serwer
samolot szerokokadłubowy	samolot wąskokadłubowy
samolot wąskokadłubowy	samolot szerokokadłubowy
niedysponowany	dysponowany
niesprawny	sprawny
niewypłacalny	wypłacalny
nieparzysty	parzysty
nieparzysty	parzysty
parzysty	nieparzysty
parzysty	nieparzysty
instytucjonalny	pozainstytucjonalny
koniugacyjny	deklinacyjny
nieodmienny	odmienny
nieuchwytny	uchwytny
nieuchwytny	uchwytny
nieprzetłumaczalny	przetłumaczalny
negatywny	pozytywny
pozytywny	negatywny
niemerytoryczny	merytoryczny
prawomocny	nieprawomocny
nietrafny	trafny
odgórny	oddolny
oddolny	odgórny
chory	zdrowy
polifoniczny	monofoniczny
ślubny	nieślubny
ślubna	nieślubna
ślubny	nieślubny
nieślubny	ślubny
niefachowy	fachowy
pozaparlamentarny	parlamentarny
mikroskop biokularowy	mikroskop monookularowy
mikroskop monookularowy	mikroskop biokularowy
pozaukładowa jednostka miary	jednostka miary układu SI
jednostka miary układu SI	pozaukładowa jednostka miary
jednowątkowy	wielowątkowy
idiograficzny	nomotetyczny
nomotetyczny	idiograficzny
monoteistyczny	politeistyczny
niechrześcijański	chrześcijański
politeistyczny	monoteistyczny
fizykalny	niefizykalny
długometrażowy	krótkometrażowy
pełnometrażowy	krótkometrażowy
krótkometrażowy	pełnometrażowy
krótkometrażowy	długometrażowy
kryminalny	polityczny
polityczny	kryminalny
tomowy	wielotomowy
jednotomowy	wielotomowy
wielotomowy	tomowy
wielotomowy	jednotomowy
niegotowy	gotowy
obojętny	nieobojętny
obojętny	nieobojętny
obojętny	nieobojętny
obojętny	nieobojętny
nieobojętny	obojętny
niesyty	syty
pełny	niepełny
pełny	niepełny
przypadkowy	nieprzypadkowy
chodzący	niechodzący
niechodzący	chodzący
współrzędny	niewspółrzędny
nieoperacyjny	operacyjny
jednoręczny	dwuręczny
jednoręczny	oburęczny
praworęczny	leworęczny
leworęczny	praworęczny
oburęczny	jednoręczny
jednoręczny	oburęczny
jednostopniowy	wielostopniowy
lewostronny	prawostronny
prawostronny	lewostronny
ołowiowy	bezołowiowy
konsumpcyjny	niekonsumpcyjny
ortodoksyjny	nieortodoksyjny
stechiometryczny	niestechiometryczny
symultaniczny	konsekutywny
konsekutywny	symultaniczny
ankietowany	ankieter
czarna bierka	biała bierka
biała bierka	czarna bierka
niegospodarczy	gospodarczy
goniec białopolowy	goniec czarnopolowy
goniec czarnopolowy	goniec białopolowy
komputer analogowy	komputer cyfrowy
komputer cyfrowy	komputer analogowy
dodajnik	dodajna
dodajna	dodajnik
czas przyszły prosty	czas przyszły złożony
czas przyszły złożony	czas przyszły prosty
jadalny	niejadalny
owłosiony	łysy
zdrewniały	niezdrewniały
batiuszka	matuszka
matuszka	batiuszka
prostoliniowy	krzywoliniowy
prostoliniowy	krzywolinijny
reumatyczny	antyreumatyczny
uleczalność	nieuleczalność
zakaźny	niezakaźny
matka	ojciec
niewierny	muzułmanin
gadzio	Rom
biskup pomocniczy	ordynariusz
cykliczny	acykliczny
pozaustrojowy	ustrojowy
nawój nadawczy	nawój odbiorczy
nawój odbiorczy	nawój nadawczy
jonowy	niejonowy
wielokomórkowy	jednokomórkowy
niestacjonarny	stacjonarny
przekładalność	nieprzekładalność
przekładalność	nieprzekładalność
biegun północny	biegun południowy
biegun południowy	biegun północny
rodzony	przyrodni
rodzony	przyszywany
palący	niepalący
niepalący	palący
niepoczytalny	poczytalny
leworęczny	praworęczny
praworęczny	leworęczny
czysty	nieczysty
możebny	niemożebny
odpływowy	dopływowy
dwukierunkowy	jednokierunkowy
prenatalny	postnatalny
niejednoznaczny	jednoznaczny
przyrodni	rodzony
niemożebny	możebny
łaskawy	niełaskawy
łaskawy	niełaskawy
pozytyw	negatyw
neutralny	nieneutralny
neutralny	nieneutralny
jednokierunkowy	dwukierunkowy
normalny	nienormalny
poczytalny	niepoczytalny
komercyjność	niekomercyjność
nieodporność	odporność
nieodporność	odporność
niesolidarność	solidarność
nietoksyczność	toksyczność
etyczność	nieetyczność
sprawny	niesprawny
przyjacielskość	nieprzyjacielskość
nieefektowność	efektowność
nierozpuszczalność	rozpuszczalność
otwarty	zamknięty
nieczynny	czynny
czynny	nieczynny
niedosłowność	dosłowność
definiowalność	niedefiniowalność
nieapetyczność	apetyczność
nieprawomocność	prawomocność
nieetyczność	etyczność
niekomercyjność	komercyjność
deszczowość	bezdeszczowość
jednoznaczny	wieloznaczny
wieloznaczny	jednoznaczny
bezdeszczowość	deszczowość
niewykrywalność	wykrywalność
niekonieczność	konieczność
nieoficjalność	oficjalność
niełaskawy	łaskawy
niełaskawy	łaskawy
poligamiczność	monogamiczność
podobność	niepodobność
pełny	niepełny
niepełny	pełny
niepełny	pełny
przenośny	nieprzenośny
nieprzenośny	przenośny
nieprzypadkowy	przypadkowy
stanowczość	niestanowczość
nieuleczalność	uleczalność
niestandardowość	standardowość
niekłopotliwość	kłopotliwość
bezproblemowość	problemowość
niełaskawość	łaskawość
nieautonomiczność	autonomiczność
rozważność	nierozważność
profesjonalność	nieprofesjonalność
nierozważność	rozważność
niestanowczość	stanowczość
niestanowczość	stanowczość
nieprzekładalność	przekładalność
nieprzekładalność	przekładalność
niecałkowitość	całkowitość
niedefiniowalność	definiowalność
niepobłażliwość	pobłażliwość
nieakceptowalność	akceptowalność
nieprzyjacielskość	przyjacielskość
niewytrawny	wytrawny
zorganizowany	niezorganizowany
niezorganizowany	zorganizowany
nieporęczność	poręczność
nieporęczność	poręczność
niebanalność	banalność
nieprzyswajalność	przyswajalność
nieprzyswajalność	przyswajalność
niepodobność	podobność
niekłótliwość	kłótliwość
nieobojętność	obojętność
niekosztowność	kosztowność
nieestetyczność	estetyczność
nieobrotność	obrotność
